video,event_index,human_time_s,human_label,model_time_s,delta_s,model_label,model_region_idx,model_confidence,matched,note
DJI_0439,1,574.165000,R,574.324,0.159,R,0,0.966797,1,
DJI_0439,2,633.706000,G,633.550,0.156,G,0,0.964844,1,
DJI_0439,3,672.128000,R,671.921,0.207,R,0,0.966797,1,
DJI_0439,4,746.538000,G,746.579,0.041,None,0,-1.000000,0,
DJI_0439,5,787.776000,R,787.870,0.094,None,0,-1.000000,0,
DJI_0439,6,855.765000,G,855.855,0.090,None,0,-1.000000,0,
DJI_0439,7,911.061000,R,910.910,0.151,None,0,-1.000000,0,
DJI_0440,1,34.048000,G,34.201,0.153,G,0,0.965820,1,
DJI_0440,2,65.792000,R,65.899,0.107,R,0,0.966797,1,
DJI_0440,3,137.813000,G,137.637,0.175,G,0,0.965332,1,
DJI_0440,4,194.816000,R,194.778,0.038,R,0,0.966309,1,
DJI_0440,5,250.112000,G,250.250,0.138,G,0,0.964844,1,
DJI_0440,6,282.197000,R,282.365,0.168,R,0,0.966309,1,
DJI_0440,7,357.290000,G,357.440,0.150,G,0,0.964844,1,
DJI_0440,8,402.005000,R,402.068,0.063,R,0,0.962891,1,
DJI_0440,9,469.248000,G,469.219,0.029,G,0,0.965332,1,
DJI_0440,10,522.496000,R,522.605,0.109,R,0,0.963379,1,
DJI_0440,11,582.912000,G,583.082,0.170,G,0,0.964844,1,
DJI_0440,12,636.160000,R,636.052,0.108,R,0,0.963379,1,
DJI_0440,13,693.098000,G,693.192,0.095,G,0,0.964844,1,
DJI_0440,14,741.632000,R,741.574,0.058,R,0,0.965332,1,
DJI_0440,15,803.072000,G,802.885,0.187,G,0,0.964844,1,
DJI_0440,16,859.733000,R,859.609,0.124,R,0,0.964844,1,
DJI_0440,17,909.909000,G,910.076,0.167,G,0,0.963867,1,
DJI_0441,1,19.434000,R,19.603,0.169,R,0,0.966309,1,
DJI_0441,2,89.066000,G,89.256,0.190,G,0,0.964844,1,
DJI_0441,3,126.613000,R,126.793,0.180,R,0,0.965820,1,
DJI_0441,4,198.976000,G,198.949,0.027,G,0,0.966309,1,
DJI_0441,5,252.117000,R,251.918,0.199,R,0,0.962891,1,
DJI_0441,6,311.957000,G,311.978,0.021,G,0,0.966797,1,
DJI_0441,7,341.653000,R,341.591,0.062,R,0,0.966797,1,
DJI_0441,8,418.112000,G,417.917,0.195,G,0,0.966309,1,
DJI_0441,9,479.210000,R,479.229,0.019,R,0,0.964844,1,
DJI_0441,10,526.997000,G,527.193,0.196,G,0,0.966309,1,
DJI_0441,11,576.149000,R,575.992,0.157,R,0,0.965820,1,
DJI_0441,12,633.834000,G,633.967,0.133,G,0,0.965820,1,
DJI_0441,13,688.448000,R,688.605,0.157,R,0,0.965820,1,
DJI_0441,14,748.181000,G,748.247,0.066,G,0,0.965820,1,
DJI_0441,15,789.824000,R,789.956,0.132,R,0,0.966797,1,
DJI_0441,16,859.114000,G,859.192,0.078,G,0,0.965332,1,
DJI_0441,17,898.026000,R,897.980,0.046,R,0,0.966797,1,
DJI_0442,1,43.605000,G,43.794,0.189,G,0,0.966797,1,
DJI_0442,2,89.344000,R,89.256,0.088,R,0,0.965820,1,
DJI_0442,3,155.626000,G,155.572,0.054,G,0,0.968262,1,
DJI_0442,4,209.152000,R,208.959,0.193,R,0,0.965820,1,
DJI_0442,5,264.789000,G,264.848,0.059,G,0,0.966797,1,
DJI_0442,6,314.752000,R,314.898,0.146,R,0,0.965332,1,
DJI_0442,7,372.309000,G,372.455,0.146,G,0,0.967773,1,
DJI_0442,8,429.653000,R,429.596,0.057,R,0,0.965332,1,
DJI_0442,9,478.122000,G,477.977,0.145,G,0,0.965820,1,
DJI_0442,10,537.664000,R,537.620,0.044,R,0,0.965820,1,
DJI_0442,11,593.152000,G,593.092,0.060,G,0,0.966309,1,
DJI_0442,12,634.218000,R,634.384,0.166,R,0,0.964844,1,
DJI_0442,13,698.624000,G,698.615,0.009,G,0,0.965332,1,
DJI_0442,14,745.856000,R,745.745,0.111,R,0,0.965820,1,
DJI_0442,15,812.629000,G,812.478,0.151,G,0,0.965820,1,
DJI_0442,16,860.416000,R,860.443,0.027,R,0,0.966309,1,
DJI_0442,17,925.269000,G,925.091,0.178,G,0,0.965332,1,
DJI_0443,1,35.434000,R,35.452,0.018,R,0,0.965820,1,
DJI_0443,2,100.800000,G,100.934,0.134,G,0,0.965332,1,
DJI_0443,3,151.829000,R,151.818,0.011,R,0,0.966309,1,
DJI_0443,4,214.293000,G,214.381,0.088,G,0,0.965820,1,
DJI_0443,5,263.104000,R,263.180,0.076,R,0,0.966797,1,
DJI_0443,6,326.592000,G,326.576,0.016,G,0,0.965332,1,
DJI_0443,7,378.474000,R,378.295,0.179,R,0,0.966309,1,
DJI_0443,8,450.837000,G,450.867,0.030,G,0,0.964844,1,
DJI_0443,9,482.922000,R,482.982,0.060,R,0,0.965332,1,
DJI_0443,10,544.704000,G,544.711,0.007,G,0,0.966797,1,
DJI_0443,11,591.125000,R,591.007,0.118,R,0,0.965820,1,
DJI_0443,12,660.416000,G,660.243,0.173,G,0,0.965820,1,
DJI_0443,13,700.672000,R,700.700,0.028,R,0,0.965820,1,
DJI_0443,14,773.056000,G,772.855,0.201,G,0,0.964844,1,
DJI_0443,15,815.722000,R,815.815,0.093,R,0,0.966309,1,
DJI_0443,16,883.648000,G,883.800,0.152,G,0,0.965332,1,
DJI_0443,17,922.218000,R,922.171,0.047,R,0,0.964844,1,
DJI_0444,1,63.552000,G,63.397,0.155,G,0,0.965820,1,
DJI_0444,2,101.674000,R,101.768,0.094,R,0,0.965332,1,
DJI_0444,3,175.402000,G,175.592,0.190,G,0,0.965820,1,
DJI_0444,4,216.704000,R,216.883,0.179,R,0,0.965332,1,
DJI_0444,5,285.824000,G,285.702,0.122,G,0,0.965332,1,
DJI_0444,6,395.136000,G,394.978,0.158,G,0,0.965820,1,
DJI_0444,7,436.522000,R,436.686,0.164,R,0,0.963867,1,
DJI_0444,8,504.106000,G,504.254,0.148,G,0,0.965820,1,
