video,event_index,human_time_s,human_label,model_time_s,delta_s,model_label,model_region_idx,model_confidence,matched,note
DJI_0827,1,633.514000,G,633.550,0.036,G,0,0.965332,1,
DJI_0827,2,673.450000,R,673.590,0.140,R,0,0.965820,1,
DJI_0827,3,747.861000,G,747.830,0.031,G,0,0.965332,1,
DJI_0827,4,781.653000,R,781.614,0.039,R,0,0.965820,1,
DJI_0827,5,860.160000,G,860.026,0.134,G,0,0.964844,1,
DJI_0827,6,906.581000,R,906.739,0.158,R,0,0.965820,1,
DJI_0828,1,42.581000,G,42.542,0.039,G,0,0.964355,1,
DJI_0828,2,93.098000,R,93.010,0.088,R,0,0.965820,1,
DJI_0828,3,149.077000,G,148.899,0.178,G,0,0.964844,1,
DJI_0828,4,203.349000,R,203.537,0.188,R,0,0.965820,1,
DJI_0828,5,256.085000,G,256.089,0.004,G,0,0.965820,1,
DJI_0828,6,289.365000,R,289.456,0.091,R,0,0.965820,1,
DJI_0828,7,368.213000,G,368.285,0.072,G,0,0.965332,1,
DJI_0828,8,417.365000,R,417.500,0.135,R,0,0.960938,1,
DJI_0828,9,479.829000,G,479.646,0.183,G,0,0.965332,1,
DJI_0828,10,532.096000,R,532.198,0.102,R,0,0.966309,1,
DJI_0828,11,588.373000,G,588.505,0.132,G,0,0.965332,1,
DJI_0828,12,636.160000,R,636.052,0.108,R,0,0.966797,1,
DJI_0828,13,697.258000,G,697.363,0.105,G,0,0.965332,1,
DJI_0828,14,747.093000,R,746.996,0.097,R,0,0.966797,1,
DJI_0828,15,808.533000,G,808.725,0.192,G,0,0.965820,1,
DJI_0828,16,856.661000,R,856.689,0.028,R,0,0.966797,1,
DJI_0828,17,914.560000,G,914.664,0.104,G,0,0.965332,1,
DJI_0829,1,20.117000,R,20.020,0.097,R,0,0.967285,1,
DJI_0829,2,143.338000,R,143.477,0.139,R,0,0.966797,1,
DJI_0829,3,93.845000,G,93.844,0.001,G,0,0.965820,1,
DJI_0829,4,207.509000,G,207.707,0.198,G,0,0.965820,1,
DJI_0829,5,264.170000,R,264.014,0.156,R,0,0.966797,1,
DJI_0829,6,314.005000,G,314.064,0.059,G,0,0.966309,1,
DJI_0829,7,369.642000,R,369.536,0.106,R,0,0.964844,1,
DJI_0829,8,420.501000,G,420.420,0.081,G,0,0.965820,1,
DJI_0829,9,472.384000,R,472.555,0.171,R,0,0.965332,1,
DJI_0829,10,533.141000,G,533.032,0.109,G,0,0.965820,1,
DJI_0829,11,586.496000,R,586.419,0.077,R,0,0.964844,1,
DJI_0829,12,646.464000,G,646.479,0.015,G,0,0.966309,1,
DJI_0829,13,689.130000,R,689.022,0.108,R,0,0.966309,1,
DJI_0829,14,757.738000,G,757.840,0.102,G,0,0.966797,1,
DJI_0829,15,798.016000,R,797.880,0.136,R,0,0.966309,1,
DJI_0829,16,870.720000,G,870.870,0.150,G,0,0.966309,1,
DJI_0829,17,915.434000,R,915.498,0.064,R,0,0.966309,1,
DJI_0830,1,51.797000,G,51.718,0.079,G,0,0.965332,1,
DJI_0830,2,100.266000,R,100.100,0.166,R,0,0.965332,1,
DJI_0830,3,161.706000,G,161.828,0.122,G,0,0.965332,1,
DJI_0830,4,211.882000,R,211.878,0.004,R,0,0.966309,1,
DJI_0830,5,269.568000,G,269.436,0.132,G,0,0.964844,1,
DJI_0830,6,320.085000,R,319.903,0.182,R,0,0.962402,1,
DJI_0830,7,374.698000,G,374.541,0.157,G,0,0.963379,1,
DJI_0830,8,426.922000,R,427.093,0.171,R,0,0.964355,1,
DJI_0830,9,480.512000,G,480.480,0.032,G,0,0.964844,1,
DJI_0830,10,522.496000,R,522.605,0.109,R,0,0.964844,1,
DJI_0830,11,590.421000,G,590.590,0.169,G,0,0.963379,1,
